Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg,Walk_Score,Percent_Public_Transit_Users_log,Ridership_log,avg_trains_per_hour_log,Duration_to_NY_Penn_log,Population_Density_log,Median_Household_Income_sqrt,Percent_Bach_Degree_log,Labor_Force_Participation_log,Employment_Rate_reciprocal,Unemployment_Rate_log,Median_Age_sqrt,Median_Household_Income_log,Total_Parking_Spaces_Log
50,Dunellen (RVL),RVL,904.0,0,36,DUNELLEN,40.590869,-74.463043,5.954545454545454,65.0,47.314596,368,DUNELLEN,1655.66969618929,76259.77473304552,21.9368761084775,69.96366175859075,92.2591435453697,9.210686959030085,8.370996252907773,41.67047686608499,13.333333333333334,2.237619414281162,6.807934943699926,1.9393954680341194,4.189654742026425,7.412564659106581,276.1517241174596,3.1327459258144637,4.262167939806776,0.010839034068295207,2.323434912874008,6.455267373710015,11.241913992460994,5.910796644040527
51,Clifton (MLBC),MLBC,873.0,0,29,CLIFTON,40.867998,-74.153206,5.478260869565218,45.0,22.208892,437,CLIFTON,3557.86663675927,99375.84426790102,22.593920916546374,65.27113014569983,95.2182172581388,7.044031372362716,10.68154426662247,46.95964287704839,18.666666666666668,2.458010183268588,6.773080375655535,1.8684520900163095,3.828641396489095,8.177197412697748,315.2393444161135,3.1609890905680715,4.193754359609467,0.010502192004802787,2.0849303719976184,6.852710622596608,11.506674410455124,6.082218910376446
52,Hazlet (NJCL),NJCL,855.0,1,59,HAZLET,40.415385,-74.190393,9.0,77.0,59.706514,589,HAZLET,889.3307598748088,111410.12237294264,33.69203557636487,61.25392090594493,95.40990285501584,5.2487386114216354,13.211384586389498,48.82928202460268,16.620892750810995,2.6540433748281216,6.752270376141742,2.302585092994046,4.356708826689592,6.791593033993805,333.78154888031577,3.54651013831358,4.1312215198021365,0.010481092319311889,1.8323796212069365,6.987795219137627,11.62098244325935,6.380122536899765
53,RAMSEY ROUTE 17 STATION (MLBC),MLBC,834.0,0,38417,RAMSEY ROUTE 17 STATION,41.07513,-74.145485,8.0,45.0,46.027124,1221,RAMSEY ROUTE 17 STATION,1149.980188775933,124547.69284766963,43.095105703855324,64.63576841346014,94.70049240864012,5.299507591359888,9.313905608900283,45.76933860467683,22.599766328108377,2.3334930438417163,6.727431724850855,2.1972245773362196,3.828641396489095,7.048369196389506,352.9131519902165,3.7863487945218797,4.184120797560347,0.010559607184352547,1.8404714702412222,6.765304028990629,11.732452025634608,7.108244139731541
54,Princeton (NEC),NEC,814.0,1,124,PRINCETON,40.342088,-74.65887,10.590909090909092,67.0,82.39820800000001,247,PRINCETON,1213.5730509600098,90957.93258841592,26.74101306264729,57.69363451739933,94.65295159423202,5.425523945720195,15.996406269759165,30.886050427326747,16.0,2.833001925812434,6.703188113240863,2.45022109180011,4.219507705176107,7.102147895632945,301.5923284641304,3.322911934142246,4.072331280023743,0.010564910899840742,1.8602781754284432,5.5575219682270935,11.418163393399713,5.5134287461649825
55,Watchung Avenue (M-B),M-B,802.0,1,153,WATCHUNG AVENUE,40.829514,-74.206934,4.652173913043479,44.0,27.519714,93,WATCHUNG AVENUE,2267.5117549262536,176504.27495615205,36.663300908111054,67.75378607123749,96.04216041748704,4.435881470487307,27.80517567853425,41.63664758238848,20.620892750810995,3.360555082056019,6.688354713946762,1.732040234526433,3.8066624897703196,7.726879280896303,420.12411851279387,3.628686169629878,4.230531805157468,0.010412093976781507,1.6930216915050575,6.452646556443989,12.08110604134602,4.543294782270004
56,Perth Amboy (NJCL),NJCL,787.0,1,119,PERTH AMBOY,40.509398,-74.273752,9.272727272727272,47.0,45.06152,149,PERTH AMBOY,6295.326923712168,51080.37759178007,8.87772510495303,61.65917353746597,92.73814457986978,8.473892709681378,7.638523768564352,36.16753340981712,39.33333333333333,2.1562317080978444,6.669498089857879,2.3294925459139697,3.871201010907891,8.747721714370524,226.00968473005767,2.290282232712473,4.137710095801983,0.010783049461796814,2.2485398797257377,6.013944912436188,10.84117527908156,5.0106352940962555
57,Plainfield (RVL),RVL,764.0,0,120,PLAINFIELD,40.618425,-74.420163,5.782608695652174,66.0,42.486576,189,PLAINFIELD,4410.141696525281,69269.6426797345,13.855561157642356,72.41961895200332,92.20649037328656,7.793509626713435,8.692823507691761,34.01781114999587,25.92957859099128,2.2713857671214206,6.639875833826536,1.9143617913203874,4.204692619390966,8.39188882303612,263.1912663439547,2.6983742838754305,4.296191188079782,0.010845223540681613,2.1740139069470157,5.832478988388717,11.145776468867858,5.247024072160486
58,North Elizabeth (NEC),NEC,758.0,1,109,NORTH ELIZABETH,40.680265,-74.206165,8.0,27.0,23.33543,123,NORTH ELIZABETH,1691.9949736828637,71362.72925816521,7.776200329067683,34.75249758410701,97.65528133460836,8.616872338824429,13.71222256550878,36.51034398205066,19.27347513567592,2.6886786153488726,6.63200177739563,2.1972245773362196,3.332204510175204,7.434254413246781,267.1380340913012,2.172043549634423,3.5766201291922504,0.010240101572935686,2.2635190911100995,6.042379000199396,11.175545025672102,4.820281565605037
59,Little Silver (NJCL),NJCL,709.0,1,73,LITTLE SILVER,40.326715,-74.041054,8.608695652173912,93.0,76.282716,553,LITTLE SILVER,593.5341585042938,189216.29012073565,32.44753701531077,58.042107666335134,97.1562349218143,3.7732408866958274,9.13178685659216,44.68164691159025,8.64554024396405,2.3156776952612423,6.565264970035361,2.2626684855886032,4.543294782270004,6.387778172014772,434.9899885293174,3.509978152034007,4.078250878610565,0.010292700214296508,1.5630255053645143,6.684433178033142,12.150651316840673,6.317164686747284
61,Somerville (RVL),RVL,685.0,0,138,SOMERVILLE,40.566075,-74.61397,6.0,79.0,61.315854,581,SOMERVILLE,934.3115393452024,101557.57313686969,27.648333873144704,73.81202777410869,95.7890091786067,3.69617279980994,1.7560196064305773,40.36418507497085,42.0,1.0137874672155762,6.530877627725885,1.9459101490553132,4.382026634673881,6.840879670951485,318.6809896069574,3.35509528695469,4.314978671172739,0.010439611063680755,1.546747879082597,6.3532814415049215,11.528390986260188,6.366470447731438
62,Delawanna (MLBC),MLBC,645.0,0,33,DELAWANNA,40.831369,-74.131262,5.727272727272728,36.0,17.541806,138,DELAWANNA,1696.52878269989,113054.614038404,33.18727897940209,74.0153314648299,93.30843805119794,7.844853598730554,14.765102253611945,41.28168310569782,7.308685840180281,2.757798779091558,6.470799503782602,1.9061698204057993,3.6109179126442243,7.436928815224235,336.2359499494425,3.5318536152077984,4.31769251217655,0.010717144353561083,2.179835775607106,6.425082342328215,11.635635136255543,4.9344739331306915
63,Paterson (MLBC),MLBC,632.0,0,116,PATERSON,40.914887,-74.16733,5.590909090909091,51.0,27.841582,697,PATERSON,7560.067714711602,39995.77342862526,7.253289986373235,58.571706789720615,92.72907472052536,7.359974324771516,14.16198198162732,33.65056401797044,48.0,2.7187911092431754,6.450470422144176,1.8856912890622586,3.9512437185814275,8.930767691305974,199.98943329242488,2.1106119070795546,4.087180743063624,0.01078410415518416,2.1234553558923146,5.8009106197191525,10.596554065558166,6.548219102762372
64,Upper Montclair (M-B),M-B,619.0,1,150,UPPER MONTCLAIR,40.842004,-74.209368,4.681818181818182,47.0,28.96812,109,UPPER MONTCLAIR,1652.3573141542413,183884.9230972451,41.03410673710362,63.8394449036264,96.35179183638115,5.079592663463557,25.223204120456263,46.60580894792447,29.940141802342584,3.266644672259971,6.429719478039138,1.7372712839439852,3.871201010907891,7.410563235474449,428.81805360460874,3.7384813539059794,4.1719141358133465,0.010378634179405197,1.8049376975928717,6.826844728564176,12.12207086115494,4.700480365792417
65,Morris Plains (M&E),M&E,619.0,1,91,MORRIS PLAINS,40.828637,-74.478197,8.136363636363637,67.0,55.844098,245,MORRIS PLAINS,662.1439923116394,133235.4892419258,34.79319322054038,68.98950389759543,95.86624107908207,4.133758920917946,5.861776133235413,41.93470613577912,26.0,1.9259663197763344,6.429719478039138,2.21226245470076,4.219507705176107,6.49699214957887,365.01436854174085,3.57775774182453,4.24834528648652,0.010431200689042132,1.6358381239872326,6.47570120803756,11.799880942830525,5.5053315359323625
66,Passaic (MLBC),MLBC,617.0,0,115,PASSAIC,40.849411,-74.133933,5.727272727272728,40.0,19.633948,92,PASSAIC,5537.850511474805,86433.97664032139,20.98388254905059,61.59073979076162,92.31522605918164,8.563553216491444,14.247836424245277,33.47629551031405,21.2910804879281,2.7244376191683966,6.42648845745769,1.9061698204057993,3.713572066704308,8.619542269309065,293.99655889197305,3.090309573460647,4.136617340498675,0.010832449236043878,2.257959333374345,5.785870333002119,11.367147695099678,4.532599493153256
67,Plauderville (MLBC),MLBC,597.0,0,121,PLAUDERVILLE,40.884916,-74.102695,5.590909090909091,36.0,23.33543,260,PLAUDERVILLE,4079.613282716906,78367.96389377106,19.097188136993672,64.5194788636236,96.07919027928882,4.666537792253696,10.101844548300985,41.49051521581743,9.312206910630715,2.407111270035277,6.393590753950631,1.8856912890622586,3.6109179126442243,8.31400257049353,279.94278682218453,3.0005799115970895,4.182347485661284,0.01040808105369268,1.7345783125860255,6.441313159272528,11.269183259259899,5.564520407322694
69,MSU (M-B),M-B,583.0,1,38081,MSU,40.869782,-74.197439,4.954545454545454,56.0,32.1868,1535,MSU,1362.7437604098484,116816.44171323624,33.6867654766895,62.15636304344657,95.22991311072424,6.658604994614554,7.45140779149789,47.21700293728267,26.0,2.1343330300365486,6.369900982828227,1.7841548698428356,4.04305126783455,7.217988961818646,341.78420342847363,3.546358215835661,4.145613604503475,0.010500902157049073,2.035829851581876,6.871462940108363,11.6683676679643,7.336936913707618
70,Kingsland (MLBC),MLBC,583.0,0,66,KINGSLAND,40.810121,-74.117334,5.727272727272728,28.0,14.805927999999998,19,KINGSLAND,1532.432329689753,102679.05040070535,32.80127157865015,76.7944468459128,95.5615596221859,5.813911975133059,26.340925157756388,37.695679393912656,22.610329539459688,3.3083846697048576,6.369900982828227,1.9061698204057993,3.367295829986474,7.335263854566129,320.43571960801336,3.5204984224514564,4.354070051334973,0.010464458763059332,1.9189664009183303,6.139680724102244,11.539373125837171,2.995732273553991
71,Raritan (RVL),RVL,577.0,0,129,RARITAN,40.571005,-74.634364,6.0,82.0,63.086128,283,RARITAN,577.6115557294952,108934.2903756073,24.40552383036199,74.16132501668791,96.66892858968636,3.3331037996150825,4.149712545467538,41.31640130336713,36.0,1.6389408967037804,6.359573868672378,1.9459101490553132,4.418840607796598,6.360631364222128,330.0519510253004,3.234966624016826,4.319636803669912,0.010344585531143358,1.4662840980709069,6.427783545155136,11.598509318642849,5.648974238161206
72,Murray Hill (GLAD),GLAD,572.0,0,99,MURRAY HILL,40.695068,-74.403134,5.863636363636363,56.0,42.003774,214,MURRAY HILL,925.163059069986,166016.15758908412,33.851936640364585,62.62617015497851,94.37333931173828,6.014261524141961,17.065571109659732,42.546808891271866,22.0,2.8940079782521,6.35088571671474,1.9262373834566084,4.04305126783455,6.831050308852615,407.4508038881309,3.551108706404705,4.153024866135413,0.010596212948412844,1.9479454370425495,6.522791495308727,12.019846420967896,5.3706380281276624
73,Bound Brook (RVL),RVL,571.0,0,21,BOUND BROOK,40.560929,-74.530617,5.954545454545454,71.0,53.91289,282,BOUND BROOK,1388.0014272007431,99383.93523856672,27.080876139108486,70.00443062393549,95.56978013328852,4.805608698919384,5.45597485176035,40.06359523399164,43.333333333333336,1.8650060356317384,6.349138991379798,1.9393954680341194,4.276666119016055,7.23634037025615,315.25217721463355,3.335088780206055,4.26274227824834,0.010463558654266314,1.7588244673476554,6.3295809682783615,11.50675582420268,5.645446897643238
74,RAMSEY (MLBC),MLBC,559.0,0,128,RAMSEY,41.056422,-74.141877,6.818181818181818,67.0,43.613114,527,RAMSEY,1046.5531982672755,157826.20578554817,45.99193421383495,66.30321704889859,97.7507290664916,3.5629657433676694,14.303589147521974,44.61247812079322,11.291080487928099,2.7280873856930343,6.327936783729195,2.056452023455137,4.219507705176107,6.954212436442077,397.2734647387718,3.8499759745113566,4.209208037126328,0.010230102727108911,1.5179727944368453,6.679257303083421,11.969256079286097,6.269096283706261
75,New Providence (GLAD),GLAD,556.0,0,104,NEW PROVIDENCE,40.712022,-74.386501,5.863636363636363,53.0,39.42883,114,NEW PROVIDENCE,1599.108391910387,162530.43374961315,41.965624823121374,71.15988681804379,95.51192618881512,6.939044005741039,21.694358499016065,41.30572449684524,1.326291192432461,3.1221163693276623,6.322565239927284,1.9262373834566084,3.9889840465642745,7.377826650877279,403.1506340682266,3.760400373266714,4.278884307267049,0.010469896691467882,2.0717928657104885,6.426952971420068,11.99862670050428,4.74493212836325
76,River Edge (Pascack),Pascack,544.0,0,132,RIVER EDGE,40.935146,-74.02914,3.4545454545454546,40.0,29.611856,101,RIVER EDGE,2275.426948454286,132701.71976884236,36.23802207946312,68.23769411582056,94.77896156125716,5.903846245176941,12.71554070165722,43.576885894440245,7.308685840180281,2.6185295477216233,6.300785794663244,1.4939250253122562,3.713572066704308,7.73036236484827,364.2824724974321,3.61733033820196,4.237545426977904,0.01055086470169526,1.9320786831358234,6.601279110478533,11.795866715730781,4.624972813284271
77,New Bridge Landing (Pascack),Pascack,536.0,0,110,NEW BRIDGE LANDING,40.910856,-74.035044,3.590909090909091,41.0,26.875978,281,NEW BRIDGE LANDING,1788.4941821107134,130148.18341840428,36.75098273108187,68.26413160316986,94.0558234133868,6.991707702808793,13.640509684450093,44.66439596734645,29.333333333333332,2.683792322438773,6.285998094508865,1.5240780634829436,3.7376696182833684,7.489688279075182,360.76056244884126,3.6310115079676315,4.237927190720485,0.010631983897529429,2.078404466954794,6.6831426714792235,11.77643663624555,5.641907070938114
78,Asbury Park (NJCL),NJCL,514.0,0,8,ASBURY PARK,40.215359,-74.014786,4.545454545454546,105.0,91.410512,38,ASBURY PARK,3513.9581587466923,63138.87594326836,23.969447331597447,70.39605472542794,93.84824276950415,8.252042009940771,7.62530654417592,41.37036176781605,87.33333333333333,2.1547005036395745,6.244166900663736,1.7129785913749407,4.663439094112067,8.164782900545664,251.27450316987665,3.2176529707506796,4.268242611872485,0.010655500523926149,2.224844284992344,6.431979615003148,11.053107797321777,3.6635616461296463
79,Hawthorne (MLBC),MLBC,511.0,0,58,HAWTHORNE,40.942539,-74.152411,5.590909090909091,56.0,31.221196,128,HAWTHORNE,2540.7778670016914,103813.64754511473,25.72903018260548,71.64891552208655,96.13760282443226,4.983941762724447,8.901635850551287,36.261983353389454,24.666666666666668,2.2926999809197666,6.238324625039508,1.8856912890622586,4.04305126783455,7.8406190628019425,322.2012531712357,3.285750247510035,4.2856384624731705,0.010401757175350138,1.789079508459786,6.021792370498127,11.550362352909795,4.859812404361672
80,Hohokus (MLBC),MLBC,502.0,0,64,HOHOKUS,40.997369,-74.113521,10.227272727272728,48.0,36.532018,203,HOHOKUS,1657.0442517576112,189907.46711877745,41.23758441022668,68.75173691402684,96.3006211202513,3.8011633113193546,23.086963275007097,43.06432298741745,39.33333333333333,3.1816707511884257,6.220590170099739,2.4183458832696614,3.8918202981106265,7.413394025180817,435.78373893340427,3.7433104505048616,4.244942322384642,0.010384149015521848,1.5688582450751125,6.56234127331225,12.154297483056409,5.318119993844216
81,Waldwick (MLBC),MLBC,493.0,0,151,WALDWICK,41.012734,-74.123412,10.227272727272728,52.0,38.463226,195,WALDWICK,1559.9572619084208,149775.72801076373,38.78925708892825,68.59406196863185,96.7793445105242,3.220655489475803,18.698128367932718,41.292537020081205,44.0,2.980523624526597,6.202535517187923,2.4183458832696614,3.970291913552122,7.353054541478503,387.00869242274615,3.68359695346605,4.2426792471580645,0.010332783354316434,1.439990445245249,6.425926938588798,11.916900984263396,5.278114659230517
82,Netherwood (RVL),RVL,490.0,0,102,NETHERWOOD,40.629148,-74.403455,5.954545454545454,63.0,40.555368,158,NETHERWOOD,2405.207015862707,98662.97481397088,25.387294766308653,69.86827582871284,93.94433311574096,6.734511277799674,11.734096816252228,40.21698498502876,11.30164369927941,2.5442831845384637,6.19644412779452,1.9393954680341194,4.1588830833596715,7.7858069343389635,314.1066296880263,3.272882635458116,4.26082288387817,0.010644601614958334,2.0456922988097097,6.341686288758595,11.499475161975084,5.0689042022202315
84,Denville (M&E),M&E,477.0,1,34,DENVILLE,40.8839,-74.481513,9.318181818181818,76.0,62.925194000000005,237,DENVILLE,681.1692486927956,136188.40495855102,35.24718651324613,68.79025506686733,95.17671817885336,5.467033342200744,4.323325373965907,46.84358253080661,9.30164369927941,1.6720981783728295,6.169610732491456,2.333907564123087,4.343805421853684,6.525277792294266,369.0371322218823,3.590361764860913,4.245494387799102,0.010506771184533055,1.8667174781958291,6.844237176691542,11.821801879352716,5.472270673671475
85,Berkeley Heights (GLAD),GLAD,471.0,0,17,BERKELEY HEIGHTS,40.682345,-74.442649,5.863636363636363,66.0,45.86619,219,BERKELEY HEIGHTS,449.9443925619194,156044.4230110141,32.47879023906611,62.894104065809074,90.53742344536614,9.753605577362029,10.067071230471976,44.57980127309877,15.957747154594765,2.4039741435565025,6.156978985585555,1.9262373834566084,4.204692619390966,6.1113440338119736,395.0245853247796,3.510912111129307,4.157227088985819,0.011045156377831312,2.375241100884117,6.67681071119279,11.957902416996527,5.393627546352362
86,East Orange (M&E),M&E,455.0,0,37,EAST ORANGE,40.760977,-74.210464,7.636363636363637,27.0,22.047958,53,EAST ORANGE,7233.560051024603,46417.27880593208,13.93970773319472,66.38212745688612,87.79135612990224,13.44009650564688,24.437584466154338,35.09082668257832,18.666666666666668,3.2362277837340807,6.1224928095143865,2.1559816188021705,3.332204510175204,8.88662482878884,215.4466959735797,2.7040226168088157,4.210379811491328,0.011390643043722094,2.6700088166588904,5.923751065210144,10.745448600423462,3.9889840465642745
87,Westwood (Pascack),Pascack,451.0,0,156,WESTWOOD,40.990817,-74.032696,3.4545454545454546,51.0,36.371084,220,WESTWOOD,2080.2659414125487,123729.07843397284,34.65600731709555,71.65976360116998,97.9637939143666,2.9718177101809897,8.918207782288638,44.14896588585162,46.0,2.2943722378665132,6.113682179832232,1.4939250253122562,3.9512437185814275,7.640731613236981,351.75144411071415,3.5739176408578177,4.285787773294369,0.010207852922418797,1.37922385141905,6.644468818938924,11.725857685120152,5.3981627015177525
88,WATSESSING AVENUE (M-B),M-B,434.0,1,154,WATSESSING AVENUE,40.782743,-74.198451,5.863636363636363,29.0,22.047958,59,WATSESSING AVENUE,4530.918868156759,72546.35148490986,22.507832834877743,70.18059673570977,92.59717682196006,8.572181805828105,19.19229844586188,36.88309726041693,16.627934891711867,3.005301266650816,6.075346031088684,1.9262373834566084,3.4011973816621555,8.418900719992235,269.3442991505665,3.157333677736425,4.265220263521333,0.010799465321958315,2.258861163370569,6.07314558202065,11.191994751579946,4.0943445622221
89,Allendale (MLBC),MLBC,423.0,0,3,ALLENDALE,41.030902,-74.130957,6.681818181818182,63.0,40.555368,251,ALLENDALE,880.7849404820388,164338.34210014218,43.215384851296726,61.116557251288135,96.11210508200963,4.3741182247672254,16.491195160991992,44.70743194502343,29.280517276576795,2.861697620657658,6.049733455231958,2.0388562615647574,4.1588830833596715,6.781948194622004,405.3866575260491,3.789072802078854,4.129012575805993,0.01040451667505076,1.681594509349758,6.686361637319913,12.00968872819216,5.529429087511423
90,Anderson Street (Pascack),Pascack,417.0,0,5,ANDERSON STREET,40.894458,-74.043781,3.5454545454545454,38.0,24.783836,50,ANDERSON STREET,3668.155833932832,82780.83044679077,29.625835581974016,70.40366230192299,96.22606877187584,4.172475732373519,20.137828519182133,40.04783811367907,36.0,3.051064256111357,6.035481432524756,1.5141277326297755,3.6635616461296463,8.207716896588465,287.71658006932927,3.421843952802037,4.268349160774131,0.0103921942646406,1.64335143896363,6.3283361252132515,11.32396387724466,3.9318256327243257
91,Oradell (Pascack),Pascack,401.0,0,111,ORADELL,40.953478,-74.029983,3.4545454545454546,47.0,31.703998,304,ORADELL,1137.4191343824796,178941.6375376217,40.872256263252325,63.95188124061921,96.47776826106757,4.0928764946149085,15.58709430451539,43.8829682562108,10.638498103063178,2.8086249414551054,5.996452088619021,1.4939250253122562,3.871201010907891,7.037395854770789,423.01493772397885,3.7346234659269797,4.173646707140861,0.010365082215563001,1.627842797581906,6.624422107339688,12.094820572780717,5.720311776607412
92,Hillsdale (Pascack),Pascack,398.0,0,62,HILLSDALE,41.002414,-74.041033,3.619047619047619,50.0,37.497622,261,HILLSDALE,1664.409847015126,141877.18004036832,31.309095424599704,69.01317886540947,96.58626968504062,3.5919112851856263,8.408367576090878,44.1293250948494,13.964789295495638,2.2415994609809267,5.988961416889864,1.5301885407799598,3.9318256327243257,7.4178265264869685,376.66587320909275,3.475348782681869,4.248683493834729,0.010353438467609449,1.5242963394024254,6.642990673999882,11.862724081348057,5.568344503761097
93,Lyons (GLAD),GLAD,385.0,0,76,LYONS,40.684844,-74.54947,5.863636363636363,79.0,55.52223,331,LYONS,519.8190801649409,219767.86854251308,34.2671686192743,57.51237830825144,94.75027284436304,5.249727155636952,9.232641102135698,47.53393085523481,7.985915718198255,2.325582718894593,5.955837369464831,1.9262373834566084,4.382026634673881,6.255402726484675,468.7940577081935,3.5629524637155083,4.0692383268675885,0.010554059318041244,1.832537807697311,6.894485539562384,12.30033167553604,5.805134968916488
94,Montclair Heights (M-B),M-B,350.0,1,89,MONTCLAIR HEIGHTS,40.857536,-74.2025,4.904761904761905,52.0,30.738394000000003,63,MONTCLAIR HEIGHTS,1326.657668322451,168360.5568297738,39.42600683572914,64.531718806726,96.07425270082668,5.01508567499526,16.37285854454742,43.22831716208691,20.613850609910127,2.854909134620364,5.860786223465865,1.7757591278816138,3.970291913552122,7.1911715169277635,410.31762919691107,3.6994733114171865,4.18253428201806,0.010408615959928206,1.7942705928821878,6.574824496675703,12.033869069870583,4.1588830833596715
95,Essex Street (Pascack),Pascack,349.0,0,43,ESSEX STREET,40.878973,-74.051893,3.5,35.0,23.013562,214,ESSEX STREET,2854.293476391899,69342.09335585205,19.90920677274296,68.20803557677976,95.66062012402892,4.4764279772461055,14.537705466491223,38.18502168422421,18.666666666666668,2.743269680658725,5.857933154483459,1.5040773967762742,3.58351893845611,7.956929910639726,263.32886920323045,3.0401895774145697,4.2371169769338275,0.010453622386133902,1.7004530594573708,6.179403020051711,11.1468218296638,5.3706380281276624
96,Bridgewater (RVL),RVL,346.0,0,24,BRIDGEWATER,40.559904,-74.551741,5.909090909090909,74.0,55.844098,467,BRIDGEWATER,858.5028006195221,65500.15176191936,18.17134289683277,78.7305281213188,96.95081228704235,3.049187712957653,4.523503724404342,38.73268535366165,7.964789295495639,1.7090123916133622,5.849324779946859,1.9328380674879606,4.31748811353631,6.756354083246358,255.92997433266655,2.9534166066036494,4.378652550364519,0.010314508732936647,1.3985162963008442,6.223558897741842,11.089823005620184,6.148468295917647
97,Mountain Station (M&E),M&E,333.0,0,97,MOUNTAIN STATION,40.755365,-74.253024,6.090909090909091,39.0,27.35878,88,MOUNTAIN STATION,2299.667418326104,148580.37138920158,30.63278019372607,68.52480372960034,94.3306582377522,7.281725644003997,36.446752623550665,41.3374735159361,17.294601558378535,3.6229199938817533,5.811140992976701,1.9588135538912212,3.6888794541139363,7.740954541703537,385.46124498994914,3.4541939308220586,4.241683577096991,0.01060100733612594,2.1140513577941835,6.429422486968491,11.908888042634944,4.48863636973214
98,Broadway (MLBC),MLBC,317.0,0,25,BROADWAY,40.922505,-74.115236,5.590909090909091,36.0,27.0,80,BROADWAY,3012.820369344677,108821.99110685124,31.80247807690497,66.73177175403785,94.66556087903771,8.666886608191575,12.983512091404869,42.56640559803683,21.333333333333336,2.63787892781571,5.762051382780177,1.8856912890622586,3.6109179126442243,8.010963778652792,329.8817835329063,3.490504063661407,4.215555371958017,0.010563503672447318,2.268706293631071,6.5242934941675355,11.597477906400366,4.394449154672439
